"","item","itemLabel","birthdate","deathdate"
"510","http://www.wikidata.org/entity/Q640963","Henri Thomas","1912","1993"
"511","http://www.wikidata.org/entity/Q642403","Herminie de La Brousse de Verteillac","1853","1926"
"514","http://www.wikidata.org/entity/Q646689","Maurice Magre","1877","1941"
"517","http://www.wikidata.org/entity/Q658382","Robert Antelme","1917","1990"
"518","http://www.wikidata.org/entity/Q659294","Henri Pollès","1909","1994"
"519","http://www.wikidata.org/entity/Q661692","Victor Escousse","1813","1832"
"520","http://www.wikidata.org/entity/Q662931","Camille Mauclair","1872","1945"
"521","http://www.wikidata.org/entity/Q669685","Robert de Montesquiou","1855","1921"
"523","http://www.wikidata.org/entity/Q677200","Armand Barthet","1820","1874"
"524","http://www.wikidata.org/entity/Q677722","Victor Chauvet","1788","1842"
"525","http://www.wikidata.org/entity/Q677815","Armand Renaud","1836","1895"
"526","http://www.wikidata.org/entity/Q678078","Armand d'Artois","1845","1912"
"528","http://www.wikidata.org/entity/Q679299","Pierre Molinier","1900","1976"
"529","http://www.wikidata.org/entity/Q681776","Pierre-Henri Simon","1903","1972"
"533","http://www.wikidata.org/entity/Q689646","Jean-Michel Atlan","1913","1960"
"534","http://www.wikidata.org/entity/Q692757","Lucien Fabre","1889","1952"
"538","http://www.wikidata.org/entity/Q704805","Ivan Chtcheglov","1933","1998"
"539","http://www.wikidata.org/entity/Q705210","Arsène Houssaye","1814","1896"
"540","http://www.wikidata.org/entity/Q707490","Jean-Marie Guyau","1854","1888"
"543","http://www.wikidata.org/entity/Q709670","Louis-Sébastien Mercier","1740","1814"
"544","http://www.wikidata.org/entity/Q713288","René Crevel","1900","1935"
"545","http://www.wikidata.org/entity/Q713783","Pierre-Marie-François Baour-Lormian","1770","1854"
"549","http://www.wikidata.org/entity/Q715144","Pierre Antoine Noël Bruno, comte Daru","1767","1829"
"550","http://www.wikidata.org/entity/Q715195","Volin","1882","1945"
"551","http://www.wikidata.org/entity/Q717141","Georges Migot","1891","1976"
"554","http://www.wikidata.org/entity/Q720630","Ulric Guttinguer","1787","1866"
"555","http://www.wikidata.org/entity/Q724343","Vladislav Khodasevich","1886","1939"
"558","http://www.wikidata.org/entity/Q725721","Stanislas de Guaita","1861","1897"
"559","http://www.wikidata.org/entity/Q726967","Jean Aicard","1848","1921"
"560","http://www.wikidata.org/entity/Q727056","Astolphe-Louis-Léonor de Custine, Marquis de Custine","1790","1857"
"561","http://www.wikidata.org/entity/Q728806","Georges Leygues","1857","1933"
"562","http://www.wikidata.org/entity/Q729065","Jean-Luc Lagarce","1957","1995"
"564","http://www.wikidata.org/entity/Q918268","Maxime Du Camp","1822","1894"
"565","http://www.wikidata.org/entity/Q918355","Stanislas de Boufflers","1738","1815"
"569","http://www.wikidata.org/entity/Q923554","Gustave Stoskopf","1869","1944"
"570","http://www.wikidata.org/entity/Q924159","Michel Quoist","1921","1997"
"573","http://www.wikidata.org/entity/Q931980","Évariste de Parny","1753","1814"
"576","http://www.wikidata.org/entity/Q937817","Ricciotto Canudo","1877","1923"
"577","http://www.wikidata.org/entity/Q937846","Henri Cazalis","1840","1909"
"578","http://www.wikidata.org/entity/Q940439","Auguste Vacquerie","1819","1895"
"582","http://www.wikidata.org/entity/Q945624","Fernand Gregh","1873","1960"
"583","http://www.wikidata.org/entity/Q948722","Alphonse Rabbe","1784","1829"
"585","http://www.wikidata.org/entity/Q951835","Louis Feuillade","1873","1925"
"587","http://www.wikidata.org/entity/Q952902","Michel Emer","1906","1984"
"592","http://www.wikidata.org/entity/Q958953","Jean Baptiste Gay, vicomte de Martignac","1778","1832"
"594","http://www.wikidata.org/entity/Q960018","Paul Léautaud","1872","1956"
"595","http://www.wikidata.org/entity/Q960754","Jacques Jasmin","1798","1864"
"596","http://www.wikidata.org/entity/Q961147","René Daumal","1908","1944"
"597","http://www.wikidata.org/entity/Q963467","Xavier Marmier","1808","1892"
"598","http://www.wikidata.org/entity/Q964869","Xavier Grall","1930","1981"
"599","http://www.wikidata.org/entity/Q965359","Saint-Georges de Bouhélier","1876","1947"
"601","http://www.wikidata.org/entity/Q965990","Jean Cassou","1897","1986"
"602","http://www.wikidata.org/entity/Q966234","Henri Ghéon","1875","1944"
"603","http://www.wikidata.org/entity/Q966425","Charles Hubert Millevoye","1782","1816"
"605","http://www.wikidata.org/entity/Q968715","Francis Yard","1876","1947"
"606","http://www.wikidata.org/entity/Q968716","Roparz Hemon","1900","1978"
"607","http://www.wikidata.org/entity/Q969823","Pierre Dupont de l'Étang","1765","1840"
"608","http://www.wikidata.org/entity/Q970585","François Andrieux","1759","1833"
"610","http://www.wikidata.org/entity/Q971215","Catulle Mendès","1840","1909"
"612","http://www.wikidata.org/entity/Q972144","Nicholas Bonneville","1760","1828"
"615","http://www.wikidata.org/entity/Q980235","Conrad Malte-Brun","1775","1826"
"616","http://www.wikidata.org/entity/Q980799","Antoine de Lévis Mirepoix","1884","1981"
"617","http://www.wikidata.org/entity/Q981922","Jacques Delille","1738","1813"
"618","http://www.wikidata.org/entity/Q981928","Jean François de Saint-Lambert","1716","1803"
"620","http://www.wikidata.org/entity/Q982019","Gilbert Lely","1904","1985"
"621","http://www.wikidata.org/entity/Q982032","Georges Limbour","1900","1970"
"624","http://www.wikidata.org/entity/Q982041","Albert Samain","1858","1900"
"625","http://www.wikidata.org/entity/Q983363","Léon Damas","1912","1978"
