"","item","itemLabel","birthdate","deathdate"
"291","http://www.wikidata.org/entity/Q918268","Maxime Du Camp","1822","1894"
"292","http://www.wikidata.org/entity/Q2423099","Joseph Déjacque","1821","1864"
"293","http://www.wikidata.org/entity/Q3078592","Fortuné Henry","1821","1882"
"294","http://www.wikidata.org/entity/Q677200","Armand Barthet","1820","1874"
"295","http://www.wikidata.org/entity/Q984568","Charles de Mazade","1820","1893"
"296","http://www.wikidata.org/entity/Q940439","Auguste Vacquerie","1819","1895"
"297","http://www.wikidata.org/entity/Q3189001","Jules-Martial Regnault de Prémaray","1819","1868"
"298","http://www.wikidata.org/entity/Q3164101","Jean-Baptiste Gaut","1819","1891"
"299","http://www.wikidata.org/entity/Q41876247","Ange Pechméja","1819","1887"
"300","http://www.wikidata.org/entity/Q4132490","Gian Paolo Borghetti","1816","1897"
"301","http://www.wikidata.org/entity/Q2833984","Alexandre Privat d'Anglemont","1815","1859"
"302","http://www.wikidata.org/entity/Q18197847","Edmond Texier","1815","1887"
"303","http://www.wikidata.org/entity/Q705210","Arsène Houssaye","1814","1896"
"304","http://www.wikidata.org/entity/Q2404639","Louis Veuillot","1813","1883"
"305","http://www.wikidata.org/entity/Q3430952","Richard Lahautière","1813","1882"
"306","http://www.wikidata.org/entity/Q1035323","Henri Blaze","1813","1888"
"307","http://www.wikidata.org/entity/Q19856915","Eugène Woestyn","1813","1861"
"308","http://www.wikidata.org/entity/Q2839811","Henri-François-Alphonse Esquiros","1812","1876"
"309","http://www.wikidata.org/entity/Q2827371","Agénor Altaroche","1811","1884"
"310","http://www.wikidata.org/entity/Q3902829","Pier Angelo Fiorentino","1811","1864"
"311","http://www.wikidata.org/entity/Q274429","Édouard René de Laboulaye","1811","1883"
"312","http://www.wikidata.org/entity/Q3059805","Eugène Dayot","1810","1852"
"313","http://www.wikidata.org/entity/Q3082016","Francisque Tapon-Fougas","1810","1893"
"314","http://www.wikidata.org/entity/Q3371230","Paul Foucher","1810","1875"
"315","http://www.wikidata.org/entity/Q3087481","Hégésippe Moreau","1810","1838"
"316","http://www.wikidata.org/entity/Q18011883","Louis-Agathe Berthaud","1810","1843"
"317","http://www.wikidata.org/entity/Q3091464","Xavier Forneret","1809","1884"
"318","http://www.wikidata.org/entity/Q530375","Petrus Borel","1809","1859"
"319","http://www.wikidata.org/entity/Q314963","Jules Amédée Barbey d'Aurevilly","1808","1889"
"320","http://www.wikidata.org/entity/Q3372667","Paulin Gagne","1808","1876"
"321","http://www.wikidata.org/entity/Q191305","Gérard de Nerval","1808","1855"
"322","http://www.wikidata.org/entity/Q3090732","Fulgence Girard","1807","1873"
