"","item","itemLabel","birthdate","deathdate"
"216","http://www.wikidata.org/entity/Q301210","Antoine Léonard Thomas","1732","1785"
"217","http://www.wikidata.org/entity/Q308021","Abdelwahab Meddeb","1946","2014"
"218","http://www.wikidata.org/entity/Q309702","Alfred de Vigny","1797","1863"
"219","http://www.wikidata.org/entity/Q309704","Charles Marie René Leconte de Lisle","1818","1894"
"220","http://www.wikidata.org/entity/Q309716","Michel Butor","1926","2016"
"221","http://www.wikidata.org/entity/Q310002","François Fénelon","1651","1715"
"222","http://www.wikidata.org/entity/Q310146","Charles, Duke of Orléans","1394","1465"
"224","http://www.wikidata.org/entity/Q310309","Bernard Le Bovier de Fontenelle","1657","1757"
"225","http://www.wikidata.org/entity/Q310767","Lazare Carnot","1753","1823"
"226","http://www.wikidata.org/entity/Q311766","Philippe de Vitry","1291","1361"
"228","http://www.wikidata.org/entity/Q312630","Théodore de Banville","1823","1891"
"229","http://www.wikidata.org/entity/Q312915","Eugène Pottier","1816","1887"
"230","http://www.wikidata.org/entity/Q313096","Jean Metzinger","1883","1956"
"231","http://www.wikidata.org/entity/Q313348","Jean-Henri Fabre","1823","1915"
"232","http://www.wikidata.org/entity/Q314498","Konstantin Balmont","1867","1942"
"233","http://www.wikidata.org/entity/Q314963","Jules Amédée Barbey d'Aurevilly","1808","1889"
"234","http://www.wikidata.org/entity/Q315000","Jean Froissart","1337","1410"
"235","http://www.wikidata.org/entity/Q315015","René Char","1907","1988"
"236","http://www.wikidata.org/entity/Q315163","Joseph Justus Scaliger","1540","1609"
"237","http://www.wikidata.org/entity/Q316536","Tristan Corbière","1845","1875"
"238","http://www.wikidata.org/entity/Q317937","Antoine Busnois","1430","1492"
"239","http://www.wikidata.org/entity/Q318391","Abel Bonnard","1883","1968"
"240","http://www.wikidata.org/entity/Q318440","Abel Hermant","1861","1950"
"241","http://www.wikidata.org/entity/Q320146","Léo Ferré","1916","1993"
"242","http://www.wikidata.org/entity/Q320445","Pierre François Lacenaire","1803","1836"
"243","http://www.wikidata.org/entity/Q321684","Joseph Alexandre Pierre de Ségur, Viscount of Ségur","1756","1805"
"244","http://www.wikidata.org/entity/Q322520","Jean Schlumberger","1877","1968"
"245","http://www.wikidata.org/entity/Q324427","Edmond Fleg","1874","1963"
"246","http://www.wikidata.org/entity/Q324998","Pierre-Jean de Béranger","1780","1857"
"247","http://www.wikidata.org/entity/Q452681","Amalarius of Metz","0775","0850"
"248","http://www.wikidata.org/entity/Q453279","Germain Habert","1615","1654"
"249","http://www.wikidata.org/entity/Q453578","Albertine Sarrazin","1937","1967"
"250","http://www.wikidata.org/entity/Q454246","Nina de Callias","1843","1884"
"251","http://www.wikidata.org/entity/Q457915","Eustache Deschamps","1346","1406"
"252","http://www.wikidata.org/entity/Q458721","Georges Hugnet","1906","1974"
"253","http://www.wikidata.org/entity/Q458885","Ambroise","1200","1101"
"254","http://www.wikidata.org/entity/Q462364","Gustave Kahn","1859","1936"
"255","http://www.wikidata.org/entity/Q462583","André Pieyre de Mandiargues","1909","1991"
"256","http://www.wikidata.org/entity/Q462585","Edmond Jabès","1912","1991"
"257","http://www.wikidata.org/entity/Q462591","Michel Leiris","1901","1990"
"258","http://www.wikidata.org/entity/Q462604","Victor Segalen","1878","1919"
"259","http://www.wikidata.org/entity/Q462644","Théophile de Viau","1590","1626"
"260","http://www.wikidata.org/entity/Q462666","Léon Bloy","1846","1917"
"261","http://www.wikidata.org/entity/Q464422","Marie-Catherine de Villedieu","1640","1683"
"262","http://www.wikidata.org/entity/Q464636","Augusta Holmès","1847","1903"
"263","http://www.wikidata.org/entity/Q465721","Andrée Chedid","1920","2011"
"264","http://www.wikidata.org/entity/Q466987","Marceline Desbordes-Valmore","1786","1859"
"266","http://www.wikidata.org/entity/Q468020","Jacqueline Pascal","1625","1661"
"267","http://www.wikidata.org/entity/Q469087","Marie de Gournay","1565","1645"
"268","http://www.wikidata.org/entity/Q469833","Robert Filliou","1926","1987"
"269","http://www.wikidata.org/entity/Q469957","Antoinette du Ligier de la Garde Deshoulières","1638","1694"
"270","http://www.wikidata.org/entity/Q471026","Jean-Baptiste Rousseau","1671","1741"
"271","http://www.wikidata.org/entity/Q471694","Pascal Themanlys","1909","2000"
"272","http://www.wikidata.org/entity/Q472697","Marcel Schwob","1867","1905"
"273","http://www.wikidata.org/entity/Q475526","Charles Monselet","1825","1888"
"274","http://www.wikidata.org/entity/Q482188","Amédée Pigeon","1851","1905"
"275","http://www.wikidata.org/entity/Q487523","Anatole Le Braz","1859","1926"
"276","http://www.wikidata.org/entity/Q502161","Pierre-Joseph Bernard","1708","1775"
"277","http://www.wikidata.org/entity/Q504494","Albert Caraco","1919","1971"
"278","http://www.wikidata.org/entity/Q505555","Pierre-Claude-Victor Boiste","1765","1824"
"279","http://www.wikidata.org/entity/Q506373","George Auriol","1863","1938"
"282","http://www.wikidata.org/entity/Q507746","Alexandre Arnoux","1884","1973"
"284","http://www.wikidata.org/entity/Q510114","Francis Carco","1886","1958"
"285","http://www.wikidata.org/entity/Q511359","René Rapin","1620","1687"
"286","http://www.wikidata.org/entity/Q515589","Jean-Baptiste Clément","1836","1903"
"287","http://www.wikidata.org/entity/Q517162","Agnes Mary Frances Duclaux","1857","1944"
"288","http://www.wikidata.org/entity/Q517385","Pierre Patrix","1583","1671"
"289","http://www.wikidata.org/entity/Q518672","André Frénaud","1907","1993"
"290","http://www.wikidata.org/entity/Q518827","André Gill","1840","1885"
"291","http://www.wikidata.org/entity/Q520748","André Lemoyne","1822","1907"
"292","http://www.wikidata.org/entity/Q521890","André Migdal","1924","2007"
"293","http://www.wikidata.org/entity/Q522679","André Salmon","1881","1969"
"294","http://www.wikidata.org/entity/Q522970","André Suarès","1868","1948"
"295","http://www.wikidata.org/entity/Q523039","André Theuriet","1833","1907"
"296","http://www.wikidata.org/entity/Q523339","André Weckmann","1924","2012"
"298","http://www.wikidata.org/entity/Q523580","André de Rivaudeau","1540","1580"
"299","http://www.wikidata.org/entity/Q523621","André du Bouchet","1924","2001"
"300","http://www.wikidata.org/entity/Q524348","Anne Bignan","1795","1861"
"301","http://www.wikidata.org/entity/Q527024","Yvan Goll","1891","1950"
"302","http://www.wikidata.org/entity/Q528804","Severo Sarduy","1937","1993"
"303","http://www.wikidata.org/entity/Q530375","Petrus Borel","1809","1859"
"304","http://www.wikidata.org/entity/Q530816","Ange-François Fariau","1747","1810"
"305","http://www.wikidata.org/entity/Q532297","Catherine Bernard","1662","1712"
"306","http://www.wikidata.org/entity/Q533591","Hue de Rotelande","1150","1190"
"307","http://www.wikidata.org/entity/Q534600","At de Mons","1250","1285"
"308","http://www.wikidata.org/entity/Q535188","Aristide Bruant","1851","1925"
"310","http://www.wikidata.org/entity/Q535740","Placide Cappeau","1808","1877"
"311","http://www.wikidata.org/entity/Q537093","René Maran","1887","1960"
"312","http://www.wikidata.org/entity/Q537788","Ponce Denis Écouchard Lebrun","1729","1807"
"313","http://www.wikidata.org/entity/Q539301","François-Benoît Hoffman","1760","1828"
"314","http://www.wikidata.org/entity/Q544902","Oscar Milosz","1877","1939"
"315","http://www.wikidata.org/entity/Q544925","Jean de Meun","1240","1304"
"316","http://www.wikidata.org/entity/Q544959","Guillaume de Lorris","1200","1238"
"317","http://www.wikidata.org/entity/Q545057","Raimon de Miraval","1160","1220"
"318","http://www.wikidata.org/entity/Q545423","Jacques Audiberti","1899","1965"
"320","http://www.wikidata.org/entity/Q545544","Richard Le Gallienne","1866","1947"
"321","http://www.wikidata.org/entity/Q546952","Pierre Mac Orlan","1882","1970"
"323","http://www.wikidata.org/entity/Q546959","Charles-Julien Lioult de Chênedollé","1769","1833"
"324","http://www.wikidata.org/entity/Q548181","Jules Barbier","1822","1901"
"326","http://www.wikidata.org/entity/Q548610","François-Thomas-Marie de Baculard d'Arnaud","1718","1805"
"328","http://www.wikidata.org/entity/Q548860","Michel Seuphor","1901","1999"
"329","http://www.wikidata.org/entity/Q549169","Suzon de Terson","1657","1685"
"330","http://www.wikidata.org/entity/Q549230","Malcolm de Chazal","1902","1981"
"331","http://www.wikidata.org/entity/Q551574","Maurice de Guérin","1810","1839"
"332","http://www.wikidata.org/entity/Q551721","Prosper Jolyot de Crébillon","1674","1762"
"333","http://www.wikidata.org/entity/Q551725","Paul Scarron","1610","1660"
"334","http://www.wikidata.org/entity/Q551735","Edgar Quinet","1803","1875"
"335","http://www.wikidata.org/entity/Q551740","Jean-Pierre Claris de Florian","1755","1794"
"337","http://www.wikidata.org/entity/Q551744","Jean Richepin","1849","1926"
"338","http://www.wikidata.org/entity/Q551749","Francis Ponge","1899","1988"
"339","http://www.wikidata.org/entity/Q551757","Léo Malet","1909","1996"
"340","http://www.wikidata.org/entity/Q551787","Thomas Corneille","1625","1709"
"341","http://www.wikidata.org/entity/Q551791","Watriquet Brassenel de Couvin","1300","1400"
