;lien;nom;naissance;mort;age;prefaces;id_wikidata;idref;memberof_af;reception;subject;ratio_prefaces;bnf;lien_bnf;nb_oeuvres;nb_oeuvres_1940;nb_ouvrages;nb_ouvrages_1940
266;http://www.wikidata.org/entity/Q3271572;Léonce Bourliaguet;1895;1965;70;NA;Q3271572;26746387;FALSE;NA;4;NA;11893489z;http://data.bnf.fr/ark:/12148/cb11893489z#about;48;7;76;8
267;http://www.wikidata.org/entity/Q523071;André Thérive;1891;1967;76;11;Q523071;34057803;FALSE;NA;3;0.224489795918367;12485267t;http://data.bnf.fr/ark:/12148/cb12485267t#about;99;73;117;89
268;http://www.wikidata.org/entity/Q2861943;Armand Praviel;1875;1944;69;1;Q2861943;29774497;FALSE;NA;3;0.0153846153846154;12132658p;http://data.bnf.fr/ark:/12148/cb12132658p#about;5;5;6;6
269;http://www.wikidata.org/entity/Q3170295;Jean Ajalbert;1863;1947;84;10;Q3170295;26679701;FALSE;NA;3;0.12987012987013;11888247g;http://data.bnf.fr/ark:/12148/cb11888247g#about;7;6;10;7
270;http://www.wikidata.org/entity/Q2454214;Tristan Klingsor;1874;1966;92;2;Q2454214;26950944;FALSE;NA;3;0.0303030303030303;11909856v;http://data.bnf.fr/ark:/12148/cb11909856v#about;14;11;24;16
271;http://www.wikidata.org/entity/Q3301131;Maurice Martin du Gard;1896;1970;74;1;Q3301131;50303279;FALSE;NA;3;0.0227272727272727;12438222j;http://data.bnf.fr/ark:/12148/cb12438222j#about;33;26;48;32
272;http://www.wikidata.org/entity/Q330443;Octave Aubry;1881;1946;65;NA;Q330443;26695251;FALSE;NA;3;NA;11889446x;http://data.bnf.fr/ark:/12148/cb11889446x#about;27;22;58;40
273;http://www.wikidata.org/entity/Q1876788;Henri Bachelin;1879;1941;62;20;Q1876788;34183485;FALSE;NA;3;0.327868852459016;12496771w;http://data.bnf.fr/ark:/12148/cb12496771w#about;60;52;84;63
274;http://www.wikidata.org/entity/Q3287891;Marc Chadourne;1895;1975;80;4;Q3287891;26775735;FALSE;NA;3;0.0888888888888889;11895854w;http://data.bnf.fr/ark:/12148/cb11895854w#about;14;6;22;9
275;http://www.wikidata.org/entity/Q2960242;Charles Silvestre;1889;1948;59;NA;Q2960242;70663971;FALSE;NA;3;NA;12736483b;http://data.bnf.fr/ark:/12148/cb12736483b#about;34;31;49;43
276;http://www.wikidata.org/entity/Q3263606;Louis Émié;1900;1967;67;NA;Q3263606;30211336;FALSE;NA;3;NA;12167519b;http://data.bnf.fr/ark:/12148/cb12167519b#about;37;5;41;6
277;http://www.wikidata.org/entity/Q3499047;Steve Passeur;1899;1966;67;NA;Q3499047;05980176X;FALSE;NA;3;NA;13324049t;http://data.bnf.fr/ark:/12148/cb13324049t#about;19;14;23;17
278;http://www.wikidata.org/entity/Q3185478;Joseph Peyré;1892;1968;76;NA;Q3185478;27069591;FALSE;NA;3;NA;119194846;http://data.bnf.fr/ark:/12148/cb119194846#about;42;13;110;22
279;http://www.wikidata.org/entity/Q2365412;Jean Sarment;1897;1976;79;NA;Q2365412;29876338;FALSE;NA;3;NA;12141003q;http://data.bnf.fr/ark:/12148/cb12141003q#about;39;29;72;56
280;http://www.wikidata.org/entity/Q3271400;Léon Vérane;1886;1954;68;NA;Q3271400;29774500;FALSE;NA;3;NA;121326591;http://data.bnf.fr/ark:/12148/cb121326591#about;21;11;25;12
281;http://www.wikidata.org/entity/Q440779;Rosemonde Gérard;1866;1954;88;1;Q440779;32105304;FALSE;NA;3;0.0135135135135135;12319986c;http://data.bnf.fr/ark:/12148/cb12319986c#about;33;29;48;43
282;http://www.wikidata.org/entity/Q3104166;Germaine Beaumont;1890;1983;93;1;Q3104166;26712660;FALSE;NA;3;0.02;11890818t;http://data.bnf.fr/ark:/12148/cb11890818t#about;21;5;31;6
283;http://www.wikidata.org/entity/Q3104170;Germaine Acremant;1889;1986;97;NA;Q3104170;26677261;FALSE;NA;3;NA;118880604;http://data.bnf.fr/ark:/12148/cb118880604#about;31;15;46;22
284;http://www.wikidata.org/entity/Q3050904;Elian-J. Finbert;1899;1977;78;5;Q3050904;71454004;FALSE;NA;3;0.121951219512195;12605848w;http://data.bnf.fr/ark:/12148/cb12605848w#about;39;9;53;12
285;http://www.wikidata.org/entity/Q3176054;Jeanne Galzy;1883;1977;94;2;Q3176054;26880245;FALSE;NA;3;0.0350877192982456;11904008k;http://data.bnf.fr/ark:/12148/cb11904008k#about;32;16;54;24
286;http://www.wikidata.org/entity/Q33055;Jean d'Esme;1894;1966;72;NA;Q33055;03375747X;FALSE;NA;3;NA;124592168;http://data.bnf.fr/ark:/12148/cb124592168#about;45;19;87;34
